feature,coef
low_fearful_vs_low_neutral__lracc,1.1203888715634394
low_fearful_vs_low_neutral__ldacc,0.827661758812598
lowload_neutral__dacc,-0.581472653468726
lowload_neutral__ldlpfc,0.13893228798373947
lowload_neutral__lsts,-2.1186248172068622
lowload_neutral__lvlpfc,0.30248503187851955
lowload_neutral__rdlpfc,-0.5365111540238119
lowload_neutral__rsts,0.10231197146103965
lowload_neutral__rvlpfc,-1.5391638414849718
lowload_neutral__racc,0.14687629784002576
lowload_neutral__lamyg,-0.5038484729511137
lowload_neutral__ramyg,-0.06643425526942331
lowload_neutral__linsula,0.8756075965257121
lowload_neutral__rinsula,0.7028870764074459
lowload_neutral__rdacc,-1.2140461955556527
lowload_neutral__rracc,0.40222670222857326
lowload_neutral__lracc,-0.3519449075142814
lowload_neutral__ldacc,0.6123822673464325
high_fearful_vs_high_neutral__dacc,-1.0619389927029086
high_fearful_vs_high_neutral__ldlpfc,0.04716740325012103
high_fearful_vs_high_neutral__lsts,0.12946054596755982
high_fearful_vs_high_neutral__lvlpfc,0.6818395424192756
high_fearful_vs_high_neutral__rdlpfc,-0.6670858064891074
high_fearful_vs_high_neutral__rsts,1.0871906610910973
high_fearful_vs_high_neutral__rvlpfc,0.6536172349316696
high_fearful_vs_high_neutral__racc,-0.3053719322906874
high_fearful_vs_high_neutral__lamyg,0.13306764567266616
high_fearful_vs_high_neutral__ramyg,1.0083890911081843
high_fearful_vs_high_neutral__linsula,0.6977412246122121
high_fearful_vs_high_neutral__rinsula,-0.9820762215505259
high_fearful_vs_high_neutral__rdacc,0.1097716539820851
high_fearful_vs_high_neutral__rracc,0.19115234087948213
high_fearful_vs_high_neutral__lracc,-0.49163713475599524
high_fearful_vs_high_neutral__ldacc,-1.0887840494254073
