feature,coef
low_fearful_vs_low_neutral__rracc,-0.0024295625411947307
low_fearful_vs_low_neutral__lracc,0.013260566536768928
low_fearful_vs_low_neutral__ldacc,0.002575479343275799
lowload_neutral__dacc,0.018675286262422854
lowload_neutral__ldlpfc,-0.05503654346798242
lowload_neutral__lsts,-0.06529331719185714
lowload_neutral__lvlpfc,0.008265181560671743
lowload_neutral__rdlpfc,0.014337360465606639
lowload_neutral__rsts,-0.02425440075848163
lowload_neutral__rvlpfc,0.002936932575948012
lowload_neutral__racc,0.018587935391150348
lowload_neutral__lamyg,0.014970415493763845
lowload_neutral__ramyg,-0.0046709704512464065
lowload_neutral__linsula,0.020556861348610626
lowload_neutral__rinsula,0.02370154714670704
lowload_neutral__rdacc,0.030996044592500945
lowload_neutral__rracc,0.021182353113145987
lowload_neutral__lracc,0.01452838348773938
lowload_neutral__ldacc,0.009499400461213479
high_fearful_vs_high_neutral__dacc,-0.04016955156848264
high_fearful_vs_high_neutral__ldlpfc,-0.03993073055753745
high_fearful_vs_high_neutral__lsts,-0.03602417030395572
high_fearful_vs_high_neutral__lvlpfc,-0.029386340117526496
high_fearful_vs_high_neutral__rdlpfc,-0.035597685901756215
high_fearful_vs_high_neutral__rsts,-0.016144319647112642
high_fearful_vs_high_neutral__rvlpfc,0.007824531994302794
high_fearful_vs_high_neutral__racc,-0.02288230479706423
high_fearful_vs_high_neutral__lamyg,-0.01801402316185931
high_fearful_vs_high_neutral__ramyg,0.037311764359697366
high_fearful_vs_high_neutral__linsula,-0.02116859786841672
high_fearful_vs_high_neutral__rinsula,0.004567553292882071
high_fearful_vs_high_neutral__rdacc,-0.0382686779258973
high_fearful_vs_high_neutral__rracc,-0.01959120209606584
high_fearful_vs_high_neutral__lracc,-0.025219134613543782
high_fearful_vs_high_neutral__ldacc,-0.05064425584192599
